GCMD UID	GCMD term	Similarity	SWEET term	SWEET IRI
72edbeca-b608-4f2d-8aba-492c8e6615b8	potential vorticity	1.00	potential vorticity	http://sweetontology.net/proprotation/potentialvorticity
9e2f502b-a2d5-4bc8-8c8f-489aa0c68177	vorticity advection	1.00	vorticity advection	http://sweetontology.net/phenfluidtransport/vorticityadvection
ab702934-0959-45fc-a523-81e1aa0c09c8	accretion	1.00	accretion	http://sweetontology.net/phensolid/accretion
d5d64790-db29-451d-b022-a461dac06228	coalescence	1.00	coalescence	http://sweetontology.net/phensolid/coalescence
8d66dbbe-886e-449d-bfd2-93fc8d357ccd	sedimentation	1.00	sedimentation	http://sweetontology.net/phengeolgeomorphology/sedimentation
d2e93932-0231-4b23-af2f-217c6315a95e	absorption	1.00	absorption	http://sweetontology.net/procchemical/absorption
d2e93932-0231-4b23-af2f-217c6315a95e	absorption	1.00	absorption	http://sweetontology.net/procwave/absorption
4b12439a-45fc-42fa-ae19-535826f6247b	emission	1.00	emission	http://sweetontology.net/phenreaction/emission
4b12439a-45fc-42fa-ae19-535826f6247b	emission	1.00	emission	http://sweetontology.net/procwave/emission
c830ad5e-ac31-41cf-b8e2-277fe457d76d	scattering	1.00	scattering	http://sweetontology.net/procwave/scattering
7c4d5f8f-4809-4859-b379-3b8c379bc83c	cumulonimbus	1.00	cumulonimbus	http://sweetontology.net/phenatmocloud/cumulonimbus
e1dff4d5-2e5b-46e7-9804-9de29fdb36d9	cumulus	1.00	cumulus	http://sweetontology.net/phenatmocloud/cumulus
d13661da-d022-439a-bb27-dc2273f9dc88	mesoscale convective complex	1.00	mesoscale convective complex	http://sweetontology.net/phenatmopressure/mesoscaleconvectivecomplex
c6024258-d344-4cd2-932b-31e5c81a9c4b	squall line	1.00	squall line	http://sweetontology.net/phenatmoprecipitation/squallline
bf271f69-3294-44d6-bfa8-a8f54468ca30	cirrostratus	1.00	cirrostratus	http://sweetontology.net/phenatmocloud/cirrostratus
30c9e32c-7dfe-430f-bd06-4cfa844076e2	advection fog	1.00	advection fog	http://sweetontology.net/phenatmofog/advectionfog
09a1b23e-bd8b-4bb9-966b-2388328973d4	frontal fog	1.00	frontal fog	http://sweetontology.net/phenatmofog/frontalfog
cd4f6e31-14b5-468a-a15c-5ac0ce97bf35	ice fog	1.00	ice fog	http://sweetontology.net/phenatmofog/icefog
99a0a2d2-5d77-4cf2-8fc0-90d12840b12d	radiation fog	1.00	radiation fog	http://sweetontology.net/phenatmofog/radiationfog
3eefb892-0453-48b6-b619-b8fa3e7bbfc8	upslope fog	1.00	upslope fog	http://sweetontology.net/phenatmofog/upslopefog
94668478-3b79-4819-847e-b154bf241aa3	fog	1.00	fog	http://sweetontology.net/phenatmofog/fog
a3d37438-644d-448e-95ea-991d79b3a0f3	nimbostratus	1.00	nimbostratus	http://sweetontology.net/phenatmocloud/nimbostratus
3375096a-7782-42e8-97d2-0febf63893e0	stratocumulus	1.00	stratocumulus	http://sweetontology.net/phenatmocloud/stratocumulus
8945d3c7-1c39-4a8b-b954-2a84da8ecc88	stratus	1.00	stratus	http://sweetontology.net/phenatmocloud/stratus
f58d0203-0070-422c-ab52-6ca8ffbb6362	altostratus	1.00	altostratus	http://sweetontology.net/phenatmocloud/altostratus
3b024dec-76c2-4995-a9ad-7e2bf4feda72	standardized precipitation index	1.00	standardized precipitation index	http://sweetontology.net/propindex/standardizedprecipitationindex
0ffab597-284f-4d1a-b026-a78a6604cec5	drizzle	1.00	drizzle	http://sweetontology.net/phenatmoprecipitation/drizzle
f9405e92-0c1c-4443-9cc4-45d662d8b5f2	acid rain	1.00	acid rain	http://sweetontology.net/phenatmotransport/acidrain
a90306f0-353c-4083-941a-0973a6fd6584	freezing rain	1.00	freezing rain	http://sweetontology.net/phenatmoprecipitation/freezingrain
09a57dc7-3911-4a65-9f12-b819652b8671	rain	1.00	rain	http://sweetontology.net/phenatmoprecipitation/rain
eca0080c-b001-4b6a-b978-f76415e28421	liquid water equivalent	1.00	liquid water equivalent	http://sweetontology.net/propspacethickness/liquidwaterequivalent
30bd3a01-8cb0-4045-a998-582adbf97df9	snow water equivalent	1.00	snow water equivalent	http://sweetontology.net/propspacethickness/snowwaterequivalent
7118d286-6629-48e5-931f-052cd347395e	hail	1.00	hail	http://sweetontology.net/phenatmoprecipitation/hail
